sample_id,text,image_path,cognitive_load_label,linguistic_complexity_expert_1,linguistic_complexity_expert_2,formula_density_expert_1,formula_density_expert_2,knowledge_abstractness_expert_1,knowledge_abstractness_expert_2,structural_disorganization_expert_1,structural_disorganization_expert_2,table_complexity_expert_1,table_complexity_expert_2
1,this is the charpter,,1.0,2,2,3,3,1,1,1,1,3,2
2,we wll Learning some interesting things,,1.0,1,1,1,2,2,2,3,3,1,1
3,Technical Principles and Applications of Large Language Models,,1.0,1,1,1,1,3,3,2,1,1,1
4,Learning Task 1: Fully understand the roles of different elements in the Transformer model structure.,,1.0,1,2,2,2,1,1,1,1,2,2
5,"Transformer Model Structure: We can divide this diagram into two parts: the left side is the Encoder, which understands the input text, and the right side is the Decoder, which generates new text.",dataset/images/transformer_structure.svg,3.2,5,3,2,2,5,5,7,6,3,3
6,Encoder Side: Input Embedding - turning each word into a vector holding its meaning. Positional Encoding - adds position info to the words. Multi-Head Attention - allows the model to focus on different parts of the sentence.,,2.9,2,3,3,3,3,3,4,1,2,2
7,Decoder Side: Masked Multi-Head Attention - generating words by only looking at previous words. Encoder-Decoder Attention - connects input sentences to generated text.,,3.5,3,3,6,6,3,3,4,3,5,5
8,"Euler's Formula: One of the most beautiful equations in mathematics: e^{iπ} + 1 = 0. It involves fundamental constants: e (Euler’s number), i (imaginary unit), and π (pi).",,3.0,5,5,2,2,4,4,5,4,4,4
9,"In linear regression, the Mean Squared Error (MSE) is a commonly used loss function to measure the difference between predicted values and actual values: $ L(\theta) = \frac{1}{2m} \sum_{i=1}^{m} \left( h_\theta(x^{(i)}) - y^{(i)} \right)^2 $. $ L(\theta) $: The loss function. $ m $: The number of training samples. $ h_\theta(x^{(i)}) $: The predicted value from the model, where $ h_\theta(x) = \theta_0 + \theta_1 x $. $ y^{(i)} $: The actual value of the $ i $-th training sample.",/dataset/images/MeanSquaredError.jpeg,2.5,3,3,2,3,3,3,2,2,3,3
10,"In mathematical analysis, the theorem $e^{i\pi} + 1 = 0$ is a fundamental result.",/dataset/images/partial.png,2.5,2,2,5,5,2,2,3,3,4,4
11,Cognitive Load Assessment Dimensions for Teaching Materials,dataset/images/cognitive_load_metrics_table.png,2.8,4,4,2,2,3,3,5,5,2,2
12,"Figure 1.1 Computing is everywhere, affecting everyone, for better and for worse. (credit: modification of Whereas design is expansive, engineering is narrowing by Jessie Huynh Critically Conscious Computing, CC0)",/dataset/images/Figure 1.1.jpeg,2.0,2,2,2,2,3,3,1,1,2,1
13,"This textbook will introduce you to the exciting and complex world of computer science. In this chapter, you’ll review the history of computer science, learn about its use in different fields, and explore how computer science will impact the future of society. Computer science is a powerful tool, and computer scientists have used their vast knowledge of technology to create and implement technology that has transformed societies around the world.",,1.0,1,1,3,3,1,1,2,2,2,2
14,"This book will also introduce the computational thinking aspects of problem-solving and analytical thinking that enable the study of algorithms, which are step-by-step instructions for solving specific problems or carrying out computations. Therefore, this book also covers algorithms and their realization via programming languages, computer systems architectures, networks, and operating systems. The book subsequently delves into computer science areas that enable the design and development of software solutions using high-level programming languages (i.e., coding languages designed to be more intuitive for humans), architectural styles and related models, data management systems, and software engineering. Finally, the book demonstrates how to leverage computer science realizations and areas to build modern end-to-end solutions to business and social problems. In particular, the book focuses on modern web applications development, cloud-native applications development, and hybrid Cloud/on-premise digital solutions. The various chapters emphasize how to achieve software solution qualities such as performance and scalability. The last chapter explains how to secure software applications and their applications in the context of various cyber threats. It also explains how to make the right decisions about using computers and information in society to navigate social, ethical, economic, and political issues that could result from the misuse of technology. To conclude this textbook, we’ll introduce you to cybersecurity and help you understand why responsible computing is essential to promote ethical behavior in computer science. The book is designed to help students grasp the full meaning of computer science as a tool that can help them think, build meaningful solutions to complex problems, and motivate their careers in information technology (IT).",,2.4,5,5,1,1,3,2,3,2,2,2
15,"You’re already familiar with computer science. Whenever you use a laptop, tablet, cell phone, credit card reader, and other technology, you interact with items made possible by computer science. Computer science is a challenging field, and the outputs of computer science offer many benefits for society. At the same time, we have to be cautious about how we use computer science to ensure it impacts society in ethical ways. To help you understand this, the next section will explain how computer science came to be and discuss the field’s potential.",,3.5,4,3,4,4,5,5,3,4,5,5
16,"You’re already familiar with computer science. Whenever you use a laptop, tablet, cell phone, credit card reader, and other technology, you interact with items made possible by computer science. Computer science is a challenging field, and the outputs of computer science offer many benefits for society. At the same time, we have to be cautious about how we use computer science to ensure it impacts society in ethical ways. To help you understand this, the next section will explain how computer science came to be and discuss the field’s potential.",,2.1,3,3,2,2,2,2,2,2,3,3
17,"1.1 computer science The field of computer science (CS) is the study of computing, which includes all phenomena related to computers, such as the Internet. With foundations in engineering and mathematics, computer science focuses on studying algorithms. An algorithm is a sequence of precise instructions that enables computing. This includes components computers use to process information. By studying and applying algorithms, computer science creates applications and solutions that impact all areas of society. For example, computer science developed the programs that enable online shopping, texting with friends, streaming music, and other technological processes.",,2.6,4,4,3,3,2,3,4,4,2,2
18,"While computers are common today, they weren’t always this pervasive. For those whose lives have been shaped by computer technology, it can sometimes seem like computer technology is ahistorical: computing often focuses on rapid innovation and improvement, wasting no time looking back and reflecting on the past. Yet the foundations of computer science defined over 50, and as much as 100, years ago very much shape what is possible with computing today.",,2.7,3,3,3,3,4,4,2,2,4,4
19,"1.1.1 The Early History of Computing. The first computing devices were not at all like the computers we know today. They were physical calculation devices such as the abacus, which first appeared in many societies across the world thousands of years ago. They allowed people to tally, count, or add numbers (Figure 1.2). Today, abaci are still used in some situations, such as helping small children learn basic arithmetic, keeping score in games, and as a calculating tool for people with visual impairments. However, abaci are not common today because of the invention of number systems such as the Arabic number system (0, 1, 2, 3, . . .), which included zero and place values that cannot be computed with abaci. The concept of an algorithm was also invented around this time. Algorithms use inputs and a finite number of steps to carry out arithmetic operations like addition, subtraction, multiplication, and division, and produce outputs used in computing. Today’s computers still rely on the same foundations of numbers, calculations, and algorithms, except at the scale of billions of numbers and billions of calculations per second. ",,3.3,3,5,4,4,4,4,3,3,4,4
20,"To introduce a concrete example of an algorithm, let us consider binary search algorithm, which is used to locate a number in a sorted array of integers efficiently. The algorithm operates by repeatedly dividing the search interval in half to perform the search. If the number being searched is less than the integer in the middle of the interval, the interval is narrowed to the lower half. In the alternative, the interval is narrowed to the upper half. The algorithm repeatedly checks until the number is found or the interval is empty.",,2.1,4,4,1,1,2,2,3,3,1,1
21,"Algorithms may sound complicated, but they can be quite simple. For example, recipes to prepare food are algorithms with precise directions for ingredient amounts, the process to combine these, and the temperatures and cooking methods needed to transform the combined ingredients into a specific dish. The dish is the output produced by following the algorithm of a recipe.",,2.0,1,2,2,2,3,3,1,1,2,2
22,"The next major development in the evolution of computing occurred in 1614 when John Napier, a Scottish mathematician, developed logarithms, which express exponents by denoting the power that a number must be raised to obtain another value. Logarithms provided a shortcut for making tedious calculations and became the foundation for multiple analog calculating machines invented during the 1600s.",,2.9,7,2,5,5,2,2,3,3,3,3
23,"Scientists continued to explore different ways to speed up or automate calculations. In the 1820s, English mathematician Charles Babbage invented the Difference Engine with the goal of preventing human errors in manual calculations. The Difference Engine provided a means to automate the calculations of polynomial functions and astronomical calculations.",,2.4,5,5,2,2,4,4,4,4,1,1
24,"Babbage followed the Difference Engine with his invention of the Analytical Engine. With assistance from Ada Lovelace, the Analytical Engine was program-controlled and included features like an integrated memory and an arithmetic logic unit. Lovelace used punched cards to create sequencing instructions that could be read by the Analytical Engine to automatically perform any calculation included in the programming code. With her work on the Analytical Engine, Lovelace became the world’s first computer programmer.",,2.5,3,3,3,3,5,5,1,1,3,1
25,"The next major development in computing occurred in the late 1800s when Herman Hollerith, an employee of the U.S. Census Office, developed a machine that could punch cards and count them. In 1890, Hollerith’s invention was used to tabulate and prepare statistics for the U.S. census.",,2.4,3,2,3,3,1,1,5,4,2,3
26,"By the end of the 1800s and leading into the early 1900s, calculators, adding machines, typewriters, and related machines became more commonplace, setting the stage for the invention of the computer. In the 1940s, multiple computers became available, including IBM’s Harvard Mark 1. These were the forerunners to the advent of the digital computer in the 1950s, which changed everything and evolved into the computers and related technology we have today.",,2.3,4,4,2,2,4,1,4,4,2,2
27,"Around this time, computer science emerged as an academic discipline rooted in the principles of mathematics, situated primarily in elite institutions, and funded by demand from the military for use in missile guidance systems, airplanes, and other military applications. As computers could execute programs faster than humans, computer science replaced human-powered calculation with computer-powered problem-solving methods. In this way, the earliest academic computer scientists envisioned computer science as a discipline that was far more intellectual and cognitive compared to the manual calculation work that preceded it.",,2.8,2,2,3,3,4,3,1,1,3,3
28,"Richard Bellman was a significant contributor to this effort. A mathematics professor at Princeton and later at Stanford in the 1940s, Bellman later went to work for the Rand Corporation, where he studied the theory of multistage decision processes. In 1953, Bellman invented dynamic programming,1 which is a mathematical optimization methodology and a technique for computer programming. With dynamic programming, complex problems are divided into more manageable subproblems. Each subproblem is solved, and the results are stored, ultimately resulting in a solution to the overall complex problem.2 With this approach, Bellman helped revolutionize computer programming and enable computer science to become a robust field.",,2.3,5,3,3,6,3,3,3,3,4,3
29,"1.1.2 What Is Computer Science? The term computer science was popularized by George E. Forsythe in 1961. A mathematician who founded Stanford University’s computer science department, Forsythe defined computer science as “the theory of programming, numerical analysis, data processing, and the design of computer systems.” He also argued that computer science was distinguished from other disciplines by the emphasis on algorithms, which are essential for effective computer programming.3",,2.4,3,3,1,1,3,3,5,5,3,3
30,"Computer science is not only about the study of how computers work, but also everything surrounding computers, including the people who design computers, the people who write programs that run on computers, the people who test the programs to ensure correctness, and the people who are directly and indirectly affected by computers. In this way, computer science is as much about people and how they work with computers as it is about just computers.",,2.3,1,1,2,4,4,4,2,2,3,3
31,"Not everyone agrees with this definition. Some people argue that computer science is more about computers or software than the people it affects. However, even if we were to study just the “things” of computer science, the people are still there. When someone designs a computer system, they are thinking about what kinds of programs people might want to run. Typically, effort is made to design the computer system so it is more efficient at running certain kinds of programs. A computer optimized for calculating missile trajectories, for example, won’t be optimized for running social media apps.",,2.1,3,3,3,3,1,1,2,2,3,3
32,"Many computing innovations were initially developed for military research and communication purposes, including the predecessor to the Internet, the ARPANET (Figure 1.3).",,2.9,5,5,2,2,3,3,4,4,2,2
33,"1.1.3 What Is a Computer? While computer science is about much more than just computers, it helps to know a bit more about computers because they are an important component of computer science. All computers are made of physical, real-world material that we refer to as hardware. Hardware—which has four components, including processor, memory, network, and storage—is the computer component that enables computations. The processor can be regarded as the computer’s “brain,” as it follows instructions from algorithms and processes data. The memory is a means of addressing information in a computer by storing it in consistent locations, while the network refers to the various technological devices that are connected and share information. The hardware and physical components of a computer that permanently house a computer’s data are called storage.",,3.3,4,4,4,4,3,4,2,2,3,7
